Reference,Value,Footprint,Datasheet,Description
U1,ADA4084-2,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,,
U4,ADA4084-2,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,,
U6,ADA4084-2,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,,
U11,AD4695,Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,,
V-2,3.3,,,
V4,3.3,,,
V7,3.3,,,
V12,12,,,
V17,-12,,,
VCNV2,3.3,,,
VLDO2,3.3,,,
VREF2,4.096,,,
